地名,規範碼,long,lat,朝代,行政區
王屋女休山,PL000000024646,112.2852,35.1115,,
陸渾,PL000000023756,112.2362,34.2864,西晉,西晉_司州
襄陽,PL000000027132,112.148,32.0485,西晉,西晉_荊州
新野,PL000000025435,112.3673,32.5241,西晉,西晉_荊州
蜀郡,PL000000034779,104.0864,30.6501,西晉,西晉_益州
伊河,PL000000023513,112.794759,34.682055,沒有給定朝代,
白馬寺,PL000000027082,112.148,32.0485,,
檀溪寺,PL000000027092,112.148,32.0485,南齊,
清河郡,PL000000022554,115.8583,36.865,前秦,前秦
萬山,PL000000000149,112.1109,32.0039,,
高平國,PL000000022912,116.1103,35.1425,西晉,西晉_兗州
五重寺,PL000000042070,109.1826,34.142,,
藍田,PL000000042585,109.1815,34.1426,西晉,西晉_雍州
東苑,PL000000042058,108.9536,34.2957,,
吳越,PL000000008364,120.1775,30.2928,沒有給定朝代,
八公山,PL000000015260,116.767,32.6131,,
淮海,PL000000000092,118.778,32.0514,沒有給定朝代,
滎陽郡,PL000000023207,113.3841,34.8629,前秦,前秦
陽平寺,PL000000042072,108.906,34.3288,,
金輿谷崑崙山,PL000000020275,117.1025,36.2569,,
蒲坂,PL000000005218,110.3311,34.8607,前秦,前秦
京兆尹,PL000000042397,108.9064,34.3288,前秦,前秦
汧水,PL000000056121,107.303304,34.369439,沒有給定朝代,
隴山,PL000000047360,106.243201,35.564668,,
東莞郡,PL000000021860,118.8438,35.5808,前秦,前秦
新野郡,PL000000025433,112.3673,32.5241,前秦,前秦
陽口,PL000000057093,114.0805,30.5767,,
汝南郡,PL000000026506,114.1724,30.3308,東晉,東晉_江州
常山郡,PL000000000809,114.5529,38.0502,前秦,前秦
洛陽,PL000000023642,112.61,34.72,北魏,北朝魏_司州
荊州,PL000000027116,112.1109,32.0039,前秦,前秦
上明寺,PL000000027923,111.7248,30.3336,,
蜀郡,PL000000034778,104.0864,30.6501,前秦,前秦
長沙郡,PL000000028645,112.9867,28.1973,東晉,東晉_荊州
楚,PL000000023022,113.133544,29.545744,,
漢水,PL000000026396,114.284248,30.566695,慣用名,
巴陵,PL000000029265,113.1063,29.3704,東晉,東晉_荊州
君山島,PL000000029295,113,29.356,,
洞庭西山,PL000000010052,120.266258,31.118482,,
義陽郡,PL000000025745,114.0782,32.1302,東晉,東晉_荊州
覆舟山,PL000000057301,108.939195,34.266559,,
南陽郡,PL000000025203,112.5444,33.001,前秦,前秦
棘陽,PL000000025228,112.5575,32.7923,西晉,西晉_荊州
極樂世界,PL000000055477,0,0,,
下邳郡,PL000000009657,117.8916,34.1266,前秦,前秦
青山,PL000000012089,119.373,30.1937,,
堂邑,PL000000009297,118.7955,32.4305,西晉,西晉_徐州
禹穴,PL000000013182,120.60818,29.964819,沒有給定朝代,
若耶山,PL000000013191,120.610979,29.844594,沒有給定朝代,
孤潭,PL000000057112,120.490998,30.084642,,
昌原寺,PL000000013175,120.6272,30.1052,,
虎丘山,PL000000010007,120.577709,31.337283,沒有給定朝代,
若耶溪,PL000000013205,120.59902,29.98962,,
嘉祥寺,PL000000013176,120.601286,29.877746,東晉,
北地郡,PL000000042741,108.9805,34.9129,前秦,前秦
